tree_idx,n_tips,true_R0,true_d,true_lambda,mle_R0,mle_d,mle_lambda
1155,288,1.21242,1.63399,1.9810821558000002,2.0,5.609622441939637,11.219244883879274
1156,480,1.75549,2.74725,4.8227699025,2.0,5.0,10.0
1157,386,2.35294,3.46021,8.1416665174,2.0,5.0,10.0
1158,374,2.08772,2.92398,6.1044515256,2.0,5.0,10.0
1159,167,1.96678,3.32226,6.5341545228,2.0,4.385822542371511,8.771645084743023
116,167,2.01194,2.98507,6.0057817358,2.0,5.0,10.0
1160,268,1.4375,4.46429,6.417416875,1.0870809119864862,0.3756895333781086,0.4084049205684518
1161,102,1.06339,2.04499,2.1746219161,1.1994596270386277,0.5080998261660393,0.6094452279915091
1162,154,3.48848,4.60829,16.075927499200002,2.0,5.0,10.0
1163,174,1.59352,2.49377,3.9738723704,1.1260751648964045,0.5705654938224958,0.6424996325403654
1164,320,1.14315,2.07469,2.3716818735,2.0,4.979242750662907,9.958485501325814
1165,364,1.38994,3.14465,4.370874821,2.0,5.0,10.0
1166,229,1.37778,2.77778,3.8271697284,2.0,3.7359708177935707,7.471941635587141
1167,171,1.88302,3.77358,7.1057266116,2.0,3.694308142717477,7.388616285434954
1168,152,1.45438,1.8622,2.7083464360000002,1.1415653760085274,0.7287366518717617,0.8319005300051829
1169,251,1.58763,2.57732,4.0918305516,2.0,5.0,10.0
117,484,1.11954,2.29885,2.5736545289999997,2.0,5.0,10.0
1170,350,1.25918,2.04082,2.5697597276,2.0,5.0,10.0
1171,347,1.55991,2.30415,3.5942666264999996,2.0,5.0,10.0
1172,318,1.02,1.53846,1.5692291999999999,2.0,4.344959625487434,8.689919250974867
1173,115,1.16296,1.48148,1.7229019808,2.0,4.615108758449059,9.230217516898119
1174,407,1.53602,2.88184,4.4265638767999995,2.0,5.0,10.0
1175,146,1.25937,2.88184,3.6293028408000003,1.146541337291751,0.28074627066172897,0.32188720460417064
1176,498,1.25581,2.90698,3.6506145538,2.0,4.288644958188899,8.577289916377797
